loyaltyID,storeID,given_name,family_name,street,city,country,dob
560bb4ad-f66f-44fa-8f1c-9c66e25f57a2,SMITH-LLC,Garrison,Murphy,166/15 Cống Quỳnh,Buôn Ma Thuột,VN,1615578275969
94652ff8-c1c7-41a8-b5e7-e6784732d142,HAYES-GROUP,Cassie,Wyman,228/12 Lê Duẩn,Yên Bái,VN,1590768236002
33f86a58-408e-4ac1-b813-5ea4ffcdcbbd,GERLACH-COLLINS,Zachariah,Hessel,50 Bùi Viện,Bạc Liêu,VN,1606222212062
d6d09dd9-a743-4a27-b0ad-fcacc44af1a1,PFANNERSTILL-KIRLIN,Luella,VonRueden,40/28 Trường Sơn,Pleiku,VN,1588502905041
1511376e-273e-486a-99f1-e6722c3933f2,TRANTOW-HAHN,Cory,Shields,114/23/1 Út Tịch,Bắc Kạn,VN,1603419416348
d7855c26-d968-46b1-988f-fbff6b349848,STANTON-SCHNEIDER,Madisyn,Quigley,238/29/14 Nguyễn Cảnh Dị,Quảng Trị,VN,1610725198728
89cd8928-35b7-42e7-a53d-d3e43288e337,ADAMS-ABSHIRE,Maria,Schoen,114/3 Cách Mạng Tháng Tám,Biên Hòa,VN,1616472720581
a23d0582-4a44-4b7c-8593-97b1bf879cbe,CARROLL-INC,Adelbert,McKenzie,163/17 Thủ Khoa Huân,Cần Thơ,VN,1591949843446
43425ec3-998f-43c8-b678-10eaef9e774e,LUETTGEN-HACKETT,Julian,Cronin,103/24 Đống Đa,Lào Cai,VN,1598889293780
318897f7-fae1-4721-a384-8dfe7453aa3f,ROOB-LITTLE-AND-HESSEL,Brycen,Considine,121/21/4 Nguyễn Công Trứ,Bắc Giang,VN,1603889265781
